Date,Payment_Mode,Volume,Value,ATS,MoM,YoY,log_volume,log_value,is_covid_shock,is_policy_change,is_festive_month,is_fy_end,MoM_Anomaly
2019-11-01,Credit,176212447.0,601302483769.9,3412.372360789587,,,18.98720091028806,27.122363945650125,0,0,1,0,0
2019-12-01,Credit,203663822.0,657357604620.0,3227.6601615578047,15.5785675003991,,19.13198126110344,27.21149400662331,0,0,0,0,0
2020-01-01,Credit,201727299.0,665728610304.6,3300.1413968498136,-0.9508429042444311,,19.122427338337335,27.224147932404225,0,0,0,0,0
2020-02-01,Credit,188294000.0,621470000000.0,3300.5300221993266,-6.659137888918054,,19.053515129072977,27.15535347641837,0,0,0,0,0
2020-03-01,Credit,163857148.0,505741508410.69995,3086.4781584670322,-12.978030101861982,,18.914505557424555,26.949291522760774,1,0,0,1,0
2020-04-01,Credit,76853233.0,207647694992.0,2701.8732574594487,-53.09741812423099,,18.15740809602952,26.059108706513694,1,0,0,0,1
2020-05-01,Credit,102886386.99999999,322250220398.7,3132.097741936453,33.87385667952314,,18.4491358985639,26.498594162702478,0,0,0,0,0
2020-06-01,Credit,124854866.0,427728263511.80005,3425.8037128629016,21.352172664008528,,18.642662548700283,26.781753932557994,0,0,0,0,0
2020-07-01,Credit,131966372.0,455580170507.1,3452.244413501797,5.695818054860591,,18.698057690518663,26.844837543663335,0,0,0,0,0
2020-08-01,Credit,142510546.0,503110002876.4,3530.3352418311556,7.990046130843087,,18.77492656195214,26.944074676727446,0,0,0,0,0
2020-09-01,Credit,148670569.0,511337501329.3,3439.39963887069,4.322503262319977,,18.817243469850656,26.960295681402986,0,0,0,0,0
2020-10-01,Credit,171803116.0,646515313012.9,3763.117503718035,15.559600770748382,,18.961859704718982,27.194862720899316,0,0,1,0,0
2020-11-01,Credit,166257534.0,623497614380.5,3750.1916417243383,-3.227870442117009,-5.649381283491284,18.929048553766673,27.158610775885165,0,0,1,0,0
2020-12-01,Credit,173779292.0,634865231392.5,3653.284715836568,4.524160691569024,-14.673460267283012,18.973296615250337,27.176678579286715,0,0,0,0,0
2021-01-01,Credit,174420000.0,647370900000.0,3711.56346749226,0.36869064928632955,-13.536739516846453,18.976976741763114,27.19618522840144,0,1,0,0,0
2021-02-01,Credit,161377459.0,601045444001.2001,3724.4696237359894,-7.477663685357183,-14.29495416741904,18.899256644815143,27.121936382601728,0,0,0,0,0
2021-03-01,Credit,188727091.0,723188168973.3,3831.9255870546963,16.9476159616567,15.177820011855703,19.05581256654178,27.30693528661692,0,0,0,1,0
